* NAME                              POS                 K1                 K2                 K3                 K4                 K5                 K6                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66               T111               T211               T311               T411               T511               T611               T121               T221               T321               T421               T521               T621               T131               T231               T331               T431               T531               T631               T141               T241               T341               T441               T541               T641               T151               T251               T351               T451               T551               T651               T161               T261               T361               T461               T561               T661               T112               T212               T312               T412               T512               T612               T122               T222               T322               T422               T522               T622               T132               T232               T332               T432               T532               T632               T142               T242               T342               T442               T542               T642               T152               T252               T352               T452               T552               T652               T162               T262               T362               T462               T562               T662               T113               T213               T313               T413               T513               T613               T123               T223               T323               T423               T523               T623               T133               T233               T333               T433               T533               T633               T143               T243               T343               T443               T543               T643               T153               T253               T353               T453               T553               T653               T163               T263               T363               T463               T563               T663               T114               T214               T314               T414               T514               T614               T124               T224               T324               T424               T524               T624               T134               T234               T334               T434               T534               T634               T144               T244               T344               T444               T544               T644               T154               T254               T354               T454               T554               T654               T164               T264               T364               T464               T564               T664               T115               T215               T315               T415               T515               T615               T125               T225               T325               T425               T525               T625               T135               T235               T335               T435               T535               T635               T145               T245               T345               T445               T545               T645               T155               T255               T355               T455               T555               T655               T165               T265               T365               T465               T565               T665               T116               T216               T316               T416               T516               T616               T126               T226               T326               T426               T526               T626               T136               T236               T336               T436               T536               T636               T146               T246               T346               T446               T546               T646               T156               T256               T356               T456               T556               T656               T166               T266               T366               T466               T566               T666 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QS1F"                     50.01799837                  0                  0                  0                  0                  0                  0       0.9938617151     -0.05896151363                  0                  0                  0                  0       0.2075742378       0.9938617151                  0                  0                  0                  0                  0                  0         1.00615087      0.05920353804                  0                  0                  0                  0       0.2084262857         1.00615087                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0   -0.0007862081028                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0      -0.6745760772                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -0.0007900823487                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0      -0.6801254138                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS1F"                     50.22599837                  0                  0                  0                  0                  0                  0       0.9938617151     -0.05896151363                  0                  0                  0                  0       0.2075742378       0.9938617151                  0                  0                  0                  0                  0                  0         1.00615087      0.05920353804                  0                  0                  0                  0       0.2084262857         1.00615087                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0   -0.0007862081028                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0      -0.6745760772                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -0.0007900823487                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0      -0.6801254138                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS1F"                     50.43399837                  0                  0                  0                  0                  0                  0       0.9938617151     -0.05896151363                  0                  0                  0                  0       0.2075742378       0.9938617151                  0                  0                  0                  0                  0                  0         1.00615087      0.05920353804                  0                  0                  0                  0       0.2084262857         1.00615087                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0   -0.0007862081028                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0      -0.6745760772                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -0.0007900823487                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0      -0.6801254138                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS1F"                     50.64199837                  0                  0                  0                  0                  0                  0       0.9938617151     -0.05896151363                  0                  0                  0                  0       0.2075742378       0.9938617151                  0                  0                  0                  0                  0                  0         1.00615087      0.05920353804                  0                  0                  0                  0       0.2084262857         1.00615087                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0   -0.0007862081028                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0      -0.6745760772                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -0.0007900823487                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0      -0.6801254138                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS1F"                     50.84999837                  0                  0                  0                  0                  0                  0       0.9938617151     -0.05896151363                  0                  0                  0                  0       0.2075742378       0.9938617151                  0                  0                  0                  0                  0                  0         1.00615087      0.05920353804                  0                  0                  0                  0       0.2084262857         1.00615087                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0   -0.0007862081028                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0                  0                  0                  0                  0      0.01992773714                  0                  0                  0                  0                  0      -0.6745760772                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -0.0007900823487                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02009167111                  0                  0                  0                  0                  0      -0.6801254138                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.01996861156   -0.0003935874114                  0                  0                  0                  0      -0.6745718219      0.01996861156                  0                  0                  0                  0                  0                  0     -0.02005057844   -0.0003945559722                  0                  0                  0                  0      -0.6801211446     -0.02005057844                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "DR4"                      51.44999837                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        24.85089463                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.953876709                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.953876709                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.953876709                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.953876709                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.953876709                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.953876709                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -242.7779211                  0
 "QS2D"                     51.65799837                  0                  0                  0                  0                  0                  0        1.010739557       0.1034494157                  0                  0                  0                  0       0.2087440776        1.010739557                  0                  0                  0                  0                  0                  0       0.9892987515      -0.1027127054                  0                  0                  0                  0       0.2072575161       0.9892987515                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0    -0.002409375815                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0       -0.682205654                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.002388800617                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0      -0.6725237152                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS2D"                     51.86599837                  0                  0                  0                  0                  0                  0        1.010739557       0.1034494157                  0                  0                  0                  0       0.2087440776        1.010739557                  0                  0                  0                  0                  0                  0       0.9892987515      -0.1027127054                  0                  0                  0                  0       0.2072575161       0.9892987515                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0    -0.002409375815                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0       -0.682205654                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.002388800617                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0      -0.6725237152                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS2D"                     52.07399837                  0                  0                  0                  0                  0                  0        1.010739557       0.1034494157                  0                  0                  0                  0       0.2087440776        1.010739557                  0                  0                  0                  0                  0                  0       0.9892987515      -0.1027127054                  0                  0                  0                  0       0.2072575161       0.9892987515                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0    -0.002409375815                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0       -0.682205654                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.002388800617                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0      -0.6725237152                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS2D"                     52.28199837                  0                  0                  0                  0                  0                  0        1.010739557       0.1034494157                  0                  0                  0                  0       0.2087440776        1.010739557                  0                  0                  0                  0                  0                  0       0.9892987515      -0.1027127054                  0                  0                  0                  0       0.2072575161       0.9892987515                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0    -0.002409375815                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0       -0.682205654                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.002388800617                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0      -0.6725237152                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
